Model,Status,Context_Window,Capabilities,Best_For,Speed,Quality_Score,Use_Case_Examples,Claude_Selection_Logic
minimax/minimax-m2:free,untested,Unknown,general-chat,General conversation,medium,unknown,Chat & basic Q&A,"Use for: basic questions, casual conversation. Avoid for: code generation, analysis"
z-ai/glm-4.5-air:free,untested,Unknown,general-chat,General conversation,fast,unknown,Simple Q&A,"Use for: quick responses, basic chat. Avoid for: complex reasoning"
tngtech/deepseek-r1t-chimera:free,untested,Unknown,reasoning,Complex reasoning,medium,unknown,Logic problems,"Use for: reasoning tasks, logic problems. Avoid for: code generation"
deepseek/deepseek-chat-v3-0324:free,untested,128k,code-gen|analysis,Code & analysis,fast,unknown,Code fixes & explanations,"Use for: code explanations, refactoring. Avoid for: heavy reasoning"
deepseek/deepseek-r1-0528:free,untested,128k,reasoning|thinking,Deep reasoning,slow,unknown,Complex problem solving,"Use for: complex reasoning, mathematical proofs. Avoid for: simple code fixes"
qwen/qwen3-235b-a22b:free,tested,128k,analysis|explanation|architecture,Architecture & design decisions,medium,10-Sep,API comparisons & system design,"Use for: architecture analysis, API comparisons, technical explanations. Best for: design decisions, trade-off analysis"
qwen/qwen3-coder:free,tested,32k,code-gen|documentation,Code generation with docs,fast,10-Sep,Full code implementations with comments,"Use for: complete code implementations, algorithm explanations. Best for: when you need well-documented code with complexity analysis"
tngtech/deepseek-r1t2-chimera:free,untested,Unknown,reasoning,Advanced reasoning,medium,unknown,Step-by-step problem solving,Use for: reasoning tasks requiring steps. Avoid for: quick code fixes
google/gemini-2.0-flash-exp:free,UNAVAILABLE-404,1M,multimodal|vision,Vision & multi-modal,very-fast,unknown,Image analysis,PERMANENTLY UNAVAILABLE - 404 endpoint not found. Use Gemini Pro via zen_clink instead for Google models
meituan/longcat-flash-chat:free,untested,Unknown,general-chat,General chat,fast,unknown,Conversations,Use for: chat tasks. Avoid for: specialized tasks
meta-llama/llama-3.3-70b-instruct:free,tested,128k,analysis|refactoring|sql,Code analysis & SQL,medium,10-Aug,Code reviews & database queries,"Use for: code analysis, SQL queries, list comprehension refactoring. Good for: suggesting improvements to existing code"
microsoft/mai-ds-r1:free,untested,Unknown,data-science,Data science tasks,medium,unknown,Data analysis,"Use for: data science tasks, analysis. Avoid for: general code"
openai/gpt-oss-20b:free,untested,Unknown,general-purpose,General tasks,medium,unknown,Mixed tasks,Use for: general-purpose tasks when other models fail
google/gemma-3-27b-it:free,tested,8k,explanations|theory,Algorithm complexity & theory,fast,10-Aug,Time complexity explanations,"Use for: explaining algorithms, complexity analysis, CS theory. Best for: educational explanations with code examples"
